latitude,longitude,date,confidence
-26.8024,147.4413,1/09/2019,94
-26.8007,147.4308,1/09/2019,100
-26.7932,147.4431,1/09/2019,100
-26.7916,147.4326,1/09/2019,100
-13.2503,131.0425,1/09/2019,94
-13.258,131.0479,1/09/2019,100
-13.3223,130.9756,1/09/2019,92
-13.331,130.9619,1/09/2019,100
-13.3327,130.9743,1/09/2019,100
-13.3344,130.9867,1/09/2019,100
-13.3361,130.9992,1/09/2019,90
-13.3272,130.9564,1/09/2019,92
-13.3288,130.9688,1/09/2019,100
-13.3304,130.9812,1/09/2019,99
-13.3407,130.9799,1/09/2019,100
-13.3424,130.9924,1/09/2019,100
-13.3527,130.991,1/09/2019,92
-12.4483,134.3981,1/09/2019,90
-12.4509,134.4196,1/09/2019,96
-11.786,132.7598,1/09/2019,97
-11.7293,132.7574,1/09/2019,94
-13.0475,130.839,1/09/2019,93
-13.0577,130.8375,1/09/2019,100
-15.7715,130.2584,1/09/2019,96
-15.7731,130.2702,1/09/2019,91
-16.9808,128.1487,1/09/2019,95
-16.9853,128.1317,1/09/2019,95
-16.9867,128.1417,1/09/2019,97
-16.9881,128.1517,1/09/2019,93
-16.9932,128.1204,1/09/2019,96
-16.9946,128.1303,1/09/2019,100
-16.9728,142.7854,1/09/2019,91
-16.2052,136.5419,1/09/2019,92
-16.1948,136.5499,1/09/2019,92
-16.1961,136.5405,1/09/2019,95
-13.8002,136.6297,1/09/2019,95
-13.8016,136.6202,1/09/2019,100
-12.5301,142.5406,1/09/2019,90
-16.3753,136.4468,1/09/2019,90
-16.2156,136.534,1/09/2019,97
-13.2272,131.0215,1/09/2019,100
-12.7732,136.1053,1/09/2019,99
-13.3599,130.9809,1/09/2019,96
-12.6781,135.2388,1/09/2019,91
-13.2382,131.0423,1/09/2019,100
-13.2345,131.0504,1/09/2019,95
-13.2363,131.0367,1/09/2019,100
-13.2381,131.023,1/09/2019,96
-13.229,131.0078,1/09/2019,100
-13.2308,130.994,1/09/2019,97
-13.2181,131.0063,1/09/2019,98
-12.5403,135.3647,1/09/2019,95
-12.798,132.0347,1/09/2019,100
-12.4462,134.4098,1/09/2019,93
-12.5219,133.8645,1/09/2019,96
-12.4371,134.4084,1/09/2019,100
-12.5128,133.8632,1/09/2019,100
-12.5141,133.8537,1/09/2019,93
-12.5036,133.8619,1/09/2019,100
-12.5049,133.8523,1/09/2019,98
-12.4896,133.8445,1/09/2019,97
-12.4909,133.8351,1/09/2019,100
-12.3133,134.7047,1/09/2019,91
-12.2946,134.5732,1/09/2019,96
-12.2856,134.5719,1/09/2019,100
-12.2869,134.5627,1/09/2019,98
-12.2689,134.56,1/09/2019,100
-12.2702,134.5508,1/09/2019,100
-12.2599,134.5587,1/09/2019,95
-12.2612,134.5494,1/09/2019,99
-12.3107,134.1301,1/09/2019,93
-12.6705,131.2813,1/09/2019,91
-12.1855,134.3723,1/09/2019,91
-12.0388,134.6917,1/09/2019,90
-12.2644,133.0607,1/09/2019,97
-11.7935,132.7589,1/09/2019,100
-11.7949,132.7486,1/09/2019,100
-11.7811,132.7782,1/09/2019,97
-11.7853,132.7472,1/09/2019,96
-11.7867,132.7368,1/09/2019,99
-11.7882,132.7265,1/09/2019,100
-11.7896,132.7161,1/09/2019,96
-11.7704,132.7134,1/09/2019,93
-11.7718,132.703,1/09/2019,100
-11.7733,132.6925,1/09/2019,95
-11.7581,132.7328,1/09/2019,91
-11.7595,132.7224,1/09/2019,91
-11.4006,132.1307,1/09/2019,93
-11.381,132.1279,1/09/2019,91
-11.3712,132.1265,1/09/2019,98
-11.3726,132.1155,1/09/2019,94
-12.8078,132.0565,1/09/2019,100
-13.3805,130.76,1/09/2019,100
-12.8188,132.0583,1/09/2019,100
-12.7772,132.0367,1/09/2019,100
-12.7969,132.0546,1/09/2019,100
-12.7119,143.099,15/09/2019,92
-12.715,143.1175,15/09/2019,90
-12.7016,143.0949,15/09/2019,92
-12.7171,143.1108,15/09/2019,90
-12.8129,130.5858,15/09/2019,93
-12.8161,130.5992,15/09/2019,92
-12.8493,130.5565,15/09/2019,95
-12.9861,130.3938,15/09/2019,100
-12.9883,130.4124,15/09/2019,100
-13.4658,130.8153,15/09/2019,92
-14.8087,130.0822,15/09/2019,90
-14.4152,126.9491,15/09/2019,97
-14.4168,126.9604,15/09/2019,99
-14.496,126.9427,15/09/2019,93
-14.5044,126.9304,15/09/2019,98
-14.5059,126.9414,15/09/2019,91
-15.6254,131.2487,15/09/2019,97
-15.6282,131.2727,15/09/2019,100
-15.6197,131.2682,15/09/2019,100
-15.6363,131.2909,15/09/2019,99
-15.645,131.2419,15/09/2019,100
-15.6476,131.2654,15/09/2019,99
-17.3084,125.5017,15/09/2019,94
-17.3246,125.4787,15/09/2019,98
-21.8984,119.5464,15/09/2019,100
-21.8966,119.535,15/09/2019,100
-21.8977,119.5286,15/09/2019,92
-21.8996,119.54,15/09/2019,100
-26.3659,130.1628,15/09/2019,92
-28.4191,122.584,15/09/2019,100
-28.4206,122.595,15/09/2019,100
-28.4255,122.5606,15/09/2019,91
-28.427,122.5715,15/09/2019,97
-28.4284,122.5825,15/09/2019,100
-28.4299,122.5934,15/09/2019,100
-28.4314,122.6044,15/09/2019,100
-28.4329,122.6154,15/09/2019,100
-28.4343,122.6263,15/09/2019,100
-28.4364,122.5975,15/09/2019,99
-28.4378,122.6085,15/09/2019,100
-28.4392,122.6195,15/09/2019,100
-28.4457,122.596,15/09/2019,100
-28.4471,122.6069,15/09/2019,100
-26.2704,130.0102,15/09/2019,100
-26.2721,129.9937,15/09/2019,91
-21.6387,134.5587,15/09/2019,100
-21.628,134.5117,15/09/2019,100
-21.6373,134.5684,15/09/2019,96
-15.6559,131.1906,15/09/2019,100
-15.6545,131.2005,15/09/2019,100
-15.6532,131.2104,15/09/2019,100
-15.7853,130.552,15/09/2019,91
-15.7839,130.5626,15/09/2019,93
-15.3913,135.1447,15/09/2019,100
-14.1863,136.472,15/09/2019,93
-15.5923,131.3116,15/09/2019,99
-15.5936,131.3018,15/09/2019,95
-15.5989,131.2625,15/09/2019,100
-15.6003,131.2526,15/09/2019,92
-15.6081,131.2639,15/09/2019,100
-15.6294,131.1769,15/09/2019,100
-15.6281,131.1867,15/09/2019,100
-15.6254,131.2063,15/09/2019,100
-15.6268,131.1966,15/09/2019,100
-15.6241,131.2162,15/09/2019,100
-15.6227,131.2261,15/09/2019,100
-15.6214,131.2359,15/09/2019,92
-15.6374,131.1881,15/09/2019,100
-15.636,131.1979,15/09/2019,100
-15.648,131.1794,15/09/2019,98
-15.6466,131.1894,15/09/2019,100
-15.6453,131.1992,15/09/2019,100
-12.7954,130.5581,15/09/2019,100
-12.7995,130.5288,15/09/2019,100
-12.8008,130.519,15/09/2019,100
-12.8022,130.5092,15/09/2019,100
-12.7875,130.547,15/09/2019,100
-12.7888,130.5372,15/09/2019,100
-12.7902,130.5274,15/09/2019,100
-12.7915,130.5176,15/09/2019,100
-12.7929,130.5078,15/09/2019,100
-12.7809,130.5261,15/09/2019,94
-12.7823,130.5163,15/09/2019,100
-12.7836,130.5065,15/09/2019,100
-12.785,130.4967,15/09/2019,100
-12.3455,133.069,15/09/2019,93
-12.5779,131.1905,15/09/2019,100
-12.5792,131.1812,15/09/2019,100
-12.5688,131.1892,15/09/2019,97
-12.2667,132.9837,15/09/2019,94
-12.268,132.9743,15/09/2019,100
-13.9334,130.8219,15/09/2019,92
-13.8368,130.7222,15/09/2019,92
-13.5101,132.2089,15/09/2019,92
-13.7622,130.3425,15/09/2019,100
-13.7528,130.3411,15/09/2019,100
-13.7406,130.36,15/09/2019,98
-13.5833,130.6966,15/09/2019,93
-13.4772,130.8051,15/09/2019,91
-13.4653,130.8232,15/09/2019,100
-13.4666,130.8135,15/09/2019,95
-13.4455,130.8304,15/09/2019,93
-13.4468,130.8206,15/09/2019,92
-13.4323,130.8581,15/09/2019,97
-13.4336,130.8485,15/09/2019,92
-13.4376,130.8193,15/09/2019,100
-13.3558,130.8796,15/09/2019,100
-13.3571,130.87,15/09/2019,100
-12.3254,135.502,15/09/2019,95
-13.0089,130.4105,15/09/2019,100
-13.0103,130.4006,15/09/2019,100
-13.0009,130.3992,15/09/2019,100
-13.0023,130.3893,15/09/2019,100
-12.993,130.3879,15/09/2019,100
-12.4197,134.1078,15/09/2019,94
-12.3686,134.2827,15/09/2019,99
-12.8882,130.5472,15/09/2019,100
-12.8629,130.6627,15/09/2019,100
-12.8405,130.6198,15/09/2019,100
-12.8418,130.6101,15/09/2019,100
-12.8498,130.5516,15/09/2019,93
-12.8445,130.5209,15/09/2019,100
-12.8459,130.5111,15/09/2019,100
-12.8353,130.5196,15/09/2019,97
-12.8366,130.5098,15/09/2019,100
-12.8379,130.5,15/09/2019,94
-12.83,130.5132,15/09/2019,99
-12.8314,130.5034,15/09/2019,100
-12.7591,130.9547,15/09/2019,100
-12.7604,130.9452,15/09/2019,93
-12.8099,130.5899,15/09/2019,93
-12.7499,130.9534,15/09/2019,100
-12.7512,130.9439,15/09/2019,100
-12.802,130.5789,15/09/2019,92
-12.8074,130.5399,15/09/2019,100
-12.8087,130.5301,15/09/2019,100
-12.7941,130.5678,15/09/2019,91
-11.5699,130.7782,15/09/2019,95
-11.3421,132.4416,15/09/2019,91
-11.5868,130.7903,15/09/2019,90
-11.4217,132.4038,15/09/2019,99
-11.4307,132.4052,15/09/2019,94
-11.4294,132.4144,15/09/2019,94
-11.4281,132.4236,15/09/2019,98
-11.4267,132.4328,15/09/2019,97
-11.8146,130.804,15/09/2019,91
-12.2589,132.9729,15/09/2019,100
-14.3647,133.0395,15/09/2019,100
-14.3661,133.0302,15/09/2019,100
-14.3557,133.0381,15/09/2019,98
