city,month,rain_act,rain_exp
Melbourne,Sep,41,44
Melbourne,Oct,24,51
Melbourne,Nov,54.4,61
Melbourne,Dec,6.2,51
Melbourne,Jan,115.2,40
Melbourne,Feb,76.2,37
Sydney,Sep,114.2,62
Sydeny,Oct,35.6,64
Sydeny,Nov,27,85
Sydeny,Dec,1.9,74
Sydeny,Jan,64.4,80
Sydeny,Feb,468.2,119
Hobart,Sep,29.4,59
Hobart,Oct,14.9,56
Hobart,Nov,34.9,48
Hobart,Dec,14.2,56
Hobart,Jan,30,44
Hobart,Feb,17.9,36
Perth,Sep,31.4,82
Perth,Oct,,40
Perth,Nov,18.2,26
Perth,Dec,2.4,10
Perth,Jan,3,18
Perth,Feb,34.4,14
Adelaide,Sep,44.4,59
Adelaide,Oct,15.6,42
Adelaide,Nov,23.2,30
Adelaide,Dec,8.8,30
Adelaide,Jan,26.2,20
Adelaide,Feb,31,13
Darwin,Sep,0,17
Darwin,Oct,2.2,65
Darwin,Nov,50.8,137
Darwin,Dec,22.4,276
Darwin,Jan,468,466
Darwin,Feb,223.8,373
Canberra,Sep,31,52
Canberra,Oct,26.6,51
Canberra,Nov,14.2,69
Canberra,Dec,2.4,61
Canberra,Jan,16.2,55
Canberra,Feb,68.6,53
Brisbane,Sep,8.8,33
Brisbane,Oct,55,81
Brisbane,Nov,9.6,98
Brisbane,Dec,207.8,136
Brisbane,Jan,165.6,115
Brisbane,Feb,365.8,145
