date,city,state,station_id,tmin_C,tmax_C,tavg_C,prcp_mm
1/09/2019,Adelaide,SA,94672,6.3,15.8,11.1,0
1/09/2019,Brisbane,QLD,94578,9,22,16.6,0
1/09/2019,Canberra,ACT,94926,-2.3,19.3,9.6,0.3
1/09/2019,Darwin,NT,94120,18,32,24.1,0
1/09/2019,Hobart,TAS,94975,8.3,15.2,11.4,0
1/09/2019,Melbourne,VIC,94866,8.7,18.8,11.3,0
1/09/2019,Perth,WA,94610,10.9,19.1,13.5,0.2
1/09/2019,Sydney,NSW,94767,9.7,23.3,16.6,0
2/09/2019,Adelaide,SA,94672,3.9,24,15.2,0
2/09/2019,Brisbane,QLD,94578,10.3,27,17.6,0
2/09/2019,Canberra,ACT,94926,0.5,19,11.7,0
2/09/2019,Darwin,NT,94120,19.1,32.9,25.2,0
2/09/2019,Hobart,TAS,94975,6.2,18.3,12.8,0
2/09/2019,Melbourne,VIC,94866,6.7,17.5,13.7,3.2
2/09/2019,Perth,WA,94610,8.9,20.2,15.1,17.6
2/09/2019,Sydney,NSW,94767,10.7,19.1,14.7,0
3/09/2019,Adelaide,SA,94672,7.2,17.5,12.3,2
3/09/2019,Brisbane,QLD,94578,11.7,23,16.7,0
3/09/2019,Canberra,ACT,94926,4.3,21.7,10.1,0
3/09/2019,Darwin,NT,94120,19.9,31.9,25.4,0
3/09/2019,Hobart,TAS,94975,8.5,20.1,12.8,0
3/09/2019,Melbourne,VIC,94866,10.1,21.6,12.1,1.2
3/09/2019,Perth,WA,94610,10.6,18.3,14.2,2.8
3/09/2019,Sydney,NSW,94767,11,23.7,16.7,0
4/09/2019,Adelaide,SA,94672,8.6,17.3,12.7,3
4/09/2019,Brisbane,QLD,94578,9.9,33.3,20.5,0
4/09/2019,Canberra,ACT,94926,-0.3,22.2,12.2,0
4/09/2019,Darwin,NT,94120,20.5,32.7,25.9,0
4/09/2019,Hobart,TAS,94975,5.9,16.1,9.7,0
4/09/2019,Melbourne,VIC,94866,5.3,19.6,12.8,0
4/09/2019,Perth,WA,94610,10.3,16.8,11.6,1.4
4/09/2019,Sydney,NSW,94767,10.6,29.2,20.8,0
5/09/2019,Adelaide,SA,94672,9.5,17.3,13.5,3
5/09/2019,Brisbane,QLD,94578,12,28,19.4,0
5/09/2019,Canberra,ACT,94926,1.5,21.2,12.8,0
5/09/2019,Darwin,NT,94120,20.2,30.2,25.4,0
5/09/2019,Hobart,TAS,94975,2.9,13.9,7.3,0
5/09/2019,Melbourne,VIC,94866,7.4,19.4,13.9,0.2
5/09/2019,Perth,WA,94610,2.6,16.7,9.9,0
5/09/2019,Sydney,NSW,94767,15.2,21.7,18.1,0
6/09/2019,Adelaide,SA,94672,9.9,14.3,11.9,3
6/09/2019,Brisbane,QLD,94578,10.1,34.6,23.2,0
6/09/2019,Canberra,ACT,94926,5.4,20.1,9.2,3.8
6/09/2019,Darwin,NT,94120,20.6,30.9,25.7,0
6/09/2019,Hobart,TAS,94975,2.3,11.6,10.1,0
6/09/2019,Melbourne,VIC,94866,9.6,15.6,10.2,1.6
6/09/2019,Perth,WA,94610,3,20.4,11.1,0
6/09/2019,Sydney,NSW,94767,13.8,30.4,17.4,0
7/09/2019,Adelaide,SA,94672,9.1,14.6,12.4,2
7/09/2019,Brisbane,QLD,94578,16.7,26,19.9,0
7/09/2019,Canberra,ACT,94926,5.7,11,8.2,0
7/09/2019,Darwin,NT,94120,22,31.1,26.2,0
7/09/2019,Hobart,TAS,94975,6.3,10.2,8,6.2
7/09/2019,Melbourne,VIC,94866,7.1,13.1,8.4,1.8
7/09/2019,Perth,WA,94610,1.7,22,13.9,0
7/09/2019,Sydney,NSW,94767,10.8,20.3,15,0
8/09/2019,Adelaide,SA,94672,10.4,15.8,12.1,2
8/09/2019,Brisbane,QLD,94578,10.9,25,18.7,0
8/09/2019,Canberra,ACT,94926,4,13.4,8,0
8/09/2019,Darwin,NT,94120,20.2,34.2,26.3,0
8/09/2019,Hobart,TAS,94975,4.3,14.4,9.6,0.6
8/09/2019,Melbourne,VIC,94866,4.4,15.4,8.6,0.8
8/09/2019,Perth,WA,94610,6.2,25.8,16.9,0
8/09/2019,Sydney,NSW,94767,11.2,20.1,14.4,0
9/09/2019,Adelaide,SA,94672,6.1,14.4,9.7,0
9/09/2019,Brisbane,QLD,94578,11,23.7,16.7,0
9/09/2019,Canberra,ACT,94926,3.3,14.1,7.1,0
9/09/2019,Darwin,NT,94120,21.4,36.3,26.7,0
9/09/2019,Hobart,TAS,94975,6.3,12.5,8,3
9/09/2019,Melbourne,VIC,94866,4.9,12.7,8.5,9.6
9/09/2019,Perth,WA,94610,8.9,32.6,20.7,0
9/09/2019,Sydney,NSW,94767,11.2,17.4,12.9,0
10/09/2019,Adelaide,SA,94672,3.6,15,10.9,0
10/09/2019,Brisbane,QLD,94578,10,20.2,15.6,0
10/09/2019,Canberra,ACT,94926,0.2,15.7,6.9,0
10/09/2019,Darwin,NT,94120,20.4,33.4,25.6,0
10/09/2019,Hobart,TAS,94975,4.6,16.9,12.7,0.4
10/09/2019,Melbourne,VIC,94866,4.9,14.5,8.5,0.4
10/09/2019,Perth,WA,94610,10,29.2,19.4,0
10/09/2019,Sydney,NSW,94767,7.9,16.4,13.1,0.2
11/09/2019,Adelaide,SA,94672,4.4,23.3,19.2,0
11/09/2019,Brisbane,QLD,94578,10.3,21.1,15.2,0
11/09/2019,Canberra,ACT,94926,-3.1,19.4,9.1,0
11/09/2019,Darwin,NT,94120,18.3,33.5,25.1,0
11/09/2019,Hobart,TAS,94975,10,21.3,16.9,0
11/09/2019,Melbourne,VIC,94866,3.7,20.2,14.3,0
11/09/2019,Perth,WA,94610,12.9,23.4,17.2,0
11/09/2019,Sydney,NSW,94767,9,20.7,15.1,0
12/09/2019,Adelaide,SA,94672,10.2,17.5,12.9,0
12/09/2019,Brisbane,QLD,94578,8.4,22.2,15.8,0
12/09/2019,Canberra,ACT,94926,-0.6,19.2,7.8,0
12/09/2019,Darwin,NT,94120,18.6,33.3,24.9,0
12/09/2019,Hobart,TAS,94975,12.2,18.2,11.2,0.6
12/09/2019,Melbourne,VIC,94866,10.5,20,12.6,0
12/09/2019,Perth,WA,94610,11.8,25.8,18,0
12/09/2019,Sydney,NSW,94767,9.1,27.6,19.4,0
13/09/2019,Adelaide,SA,94672,6.4,14.8,12.1,0
13/09/2019,Brisbane,QLD,94578,8.1,29.4,19.3,0
13/09/2019,Canberra,ACT,94926,-2.8,22.3,12.2,0
13/09/2019,Darwin,NT,94120,19.3,32.5,25.6,0
13/09/2019,Hobart,TAS,94975,4.2,15.6,10.7,0.2
13/09/2019,Melbourne,VIC,94866,4.5,17.6,11.9,0
13/09/2019,Perth,WA,94610,11.3,27.2,19.5,0
13/09/2019,Sydney,NSW,94767,14.5,20.1,16.1,0
14/09/2019,Adelaide,SA,94672,7.8,26.6,20.1,0
14/09/2019,Brisbane,QLD,94578,11.8,25.1,18.9,0
14/09/2019,Canberra,ACT,94926,-0.5,21.8,10.6,0
14/09/2019,Darwin,NT,94120,19,32.9,25.8,0
14/09/2019,Hobart,TAS,94975,6.3,17.4,15,2
14/09/2019,Melbourne,VIC,94866,6.6,19.9,15.1,0
14/09/2019,Perth,WA,94610,12,24.5,18.4,0
14/09/2019,Sydney,NSW,94767,11.1,19.8,14.8,0
15/09/2019,Adelaide,SA,94672,14.2,27.2,18.1,1
15/09/2019,Brisbane,QLD,94578,12.7,23.7,17.3,0
15/09/2019,Canberra,ACT,94926,-0.4,24,15.1,0
15/09/2019,Darwin,NT,94120,19.5,32.3,25.8,0
15/09/2019,Hobart,TAS,94975,12.3,17.8,11.7,0
15/09/2019,Melbourne,VIC,94866,11.4,19.5,13.3,1
15/09/2019,Perth,WA,94610,10.6,23.4,17.8,0
15/09/2019,Sydney,NSW,94767,9.3,28.6,20.6,0
16/09/2019,Adelaide,SA,94672,6.3,17.6,9.4,0
16/09/2019,Brisbane,QLD,94578,10.9,23.8,18.6,0
16/09/2019,Canberra,ACT,94926,2.7,24.7,10.2,32
16/09/2019,Darwin,NT,94120,21.2,32.7,25.7,0
16/09/2019,Hobart,TAS,94975,5.2,11.1,6.6,1.4
16/09/2019,Melbourne,VIC,94866,7.9,12.4,7.3,11.8
16/09/2019,Perth,WA,94610,12.9,26.3,18.8,0
16/09/2019,Sydney,NSW,94767,14.4,28.7,15.8,0
17/09/2019,Adelaide,SA,94672,3,14.3,10.3,0
17/09/2019,Brisbane,QLD,94578,11.2,24.3,19.3,1.5
17/09/2019,Canberra,ACT,94926,0.8,9.5,7.2,0
17/09/2019,Darwin,NT,94120,20.5,32.6,26.2,0
17/09/2019,Hobart,TAS,94975,2.5,14.5,9.2,0
17/09/2019,Melbourne,VIC,94866,1.1,13.2,7.8,0
17/09/2019,Perth,WA,94610,11.9,22.7,16.7,0
17/09/2019,Sydney,NSW,94767,9.4,15.7,13.7,10
18/09/2019,Adelaide,SA,94672,4.2,22.4,18.8,0
18/09/2019,Brisbane,QLD,94578,13,25.6,17.7,0
18/09/2019,Canberra,ACT,94926,2.1,14.8,9.6,
18/09/2019,Darwin,NT,94120,22,31.9,26.9,0
18/09/2019,Hobart,TAS,94975,2.7,17.2,10.8,0.2
18/09/2019,Melbourne,VIC,94866,2.9,19.4,12.4,0
18/09/2019,Perth,WA,94610,11.5,21.3,15.4,0
18/09/2019,Sydney,NSW,94767,10.6,17.5,15.4,42
19/09/2019,Adelaide,SA,94672,17.6,29.5,22.2,0
19/09/2019,Brisbane,QLD,94578,10.3,23.6,18.4,0
19/09/2019,Canberra,ACT,94926,10.6,20.1,13.3,0
19/09/2019,Darwin,NT,94120,20.1,32.8,26.4,0
19/09/2019,Hobart,TAS,94975,4.2,21.6,16.4,0
19/09/2019,Melbourne,VIC,94866,5.2,23,19.3,0
19/09/2019,Perth,WA,94610,9.5,16,9.6,9.8
19/09/2019,Sydney,NSW,94767,13.6,21.9,18.7,29
20/09/2019,Adelaide,SA,94672,10.6,25.7,13.3,14
20/09/2019,Brisbane,QLD,94578,13.2,24,19.9,1
20/09/2019,Canberra,ACT,94926,5.6,23.3,16.5,0
20/09/2019,Darwin,NT,94120,20.4,30.9,26.2,0
20/09/2019,Hobart,TAS,94975,11,26.5,18.4,0
20/09/2019,Melbourne,VIC,94866,16.1,24.7,20.5,0
20/09/2019,Perth,WA,94610,2,18.5,11.8,0
20/09/2019,Sydney,NSW,94767,14.6,23,19.7,0.6
21/09/2019,Adelaide,SA,94672,10.5,15.1,11.7,0.3
21/09/2019,Brisbane,QLD,94578,15.6,25.4,20.8,0.5
21/09/2019,Canberra,ACT,94926,10.4,18.7,12.9,3.8
21/09/2019,Darwin,NT,94120,21.5,33.1,26.7,0
21/09/2019,Hobart,TAS,94975,11.2,21.4,12.5,0
21/09/2019,Melbourne,VIC,94866,16,18.9,11.2,0
21/09/2019,Perth,WA,94610,5.5,19.4,11.9,0
21/09/2019,Sydney,NSW,94767,17.8,24.1,20.3,0
22/09/2019,Adelaide,SA,94672,8,15.3,12.8,1
22/09/2019,Brisbane,QLD,94578,17.7,26,20.4,0
22/09/2019,Canberra,ACT,94926,4,17.2,8.4,0
22/09/2019,Darwin,NT,94120,23.5,33.1,27.6,0
22/09/2019,Hobart,TAS,94975,5.7,15,9.3,0
22/09/2019,Melbourne,VIC,94866,4.1,15.4,10.7,3
22/09/2019,Perth,WA,94610,6.2,20.7,14.1,0
22/09/2019,Sydney,NSW,94767,17.4,23.4,17.6,0.2
23/09/2019,Adelaide,SA,94672,9.7,15.1,11.4,0.3
23/09/2019,Brisbane,QLD,94578,15.4,26.5,20.9,0
23/09/2019,Canberra,ACT,94926,0.5,13.6,5.6,0.3
23/09/2019,Darwin,NT,94120,24,34.4,28.3,0
23/09/2019,Hobart,TAS,94975,5,14.2,10.6,0
23/09/2019,Melbourne,VIC,94866,7.3,15.9,9.2,1
23/09/2019,Perth,WA,94610,7.4,26,19.1,0
23/09/2019,Sydney,NSW,94767,12.1,22,14.9,0
24/09/2019,Adelaide,SA,94672,6,15.6,10.7,0
24/09/2019,Brisbane,QLD,94578,17,23.3,20.1,0
24/09/2019,Canberra,ACT,94926,-2.9,16.9,7.7,0
24/09/2019,Darwin,NT,94120,24.8,32.2,27.8,0
24/09/2019,Hobart,TAS,94975,8.3,16.5,10.7,0
24/09/2019,Melbourne,VIC,94866,4.1,14.9,10.4,2.4
24/09/2019,Perth,WA,94610,14,29.1,17.6,0
24/09/2019,Sydney,NSW,94767,9.4,22.1,15.9,0
25/09/2019,Adelaide,SA,94672,5.2,16.3,13.2,0
25/09/2019,Brisbane,QLD,94578,16.5,24.7,21.1,0
25/09/2019,Canberra,ACT,94926,-0.9,17.9,11.3,0
25/09/2019,Darwin,NT,94120,24.8,32.4,28,0
25/09/2019,Hobart,TAS,94975,5.3,13.4,11.1,0.2
25/09/2019,Melbourne,VIC,94866,4.6,16.5,10.6,0
25/09/2019,Perth,WA,94610,7.1,23.3,16.1,0
25/09/2019,Sydney,NSW,94767,10.5,20.2,16.8,0
26/09/2019,Adelaide,SA,94672,8.5,24.3,18.2,0
26/09/2019,Brisbane,QLD,94578,19,24.5,19.9,0
26/09/2019,Canberra,ACT,94926,5.6,18.2,9.8,0
26/09/2019,Darwin,NT,94120,22.7,35.3,28.1,0
26/09/2019,Hobart,TAS,94975,8.4,19.4,14.1,0
26/09/2019,Melbourne,VIC,94866,4.8,20.5,13.9,0
26/09/2019,Perth,WA,94610,10.2,22.8,16.3,0
26/09/2019,Sydney,NSW,94767,13.4,22.1,18.3,0
27/09/2019,Adelaide,SA,94672,8.5,17.6,11.6,0
27/09/2019,Brisbane,QLD,94578,14.9,25.1,21.3,0
27/09/2019,Canberra,ACT,94926,0.7,20.6,12.9,0
27/09/2019,Darwin,NT,94120,23.4,32.1,27.6,0
27/09/2019,Hobart,TAS,94975,9.2,19.5,9.8,0
27/09/2019,Melbourne,VIC,94866,10.1,19.4,9.6,0
27/09/2019,Perth,WA,94610,7.6,23.1,16.2,0
27/09/2019,Sydney,NSW,94767,14.4,27.7,20.6,0
28/09/2019,Adelaide,SA,94672,4,15.1,11.3,0
28/09/2019,Brisbane,QLD,94578,17,26,20.8,0
28/09/2019,Canberra,ACT,94926,4.8,18.1,10.1,0
28/09/2019,Darwin,NT,94120,23.4,32,27.5,0
28/09/2019,Hobart,TAS,94975,2.7,16.8,11.8,0.2
28/09/2019,Melbourne,VIC,94866,4.5,14.6,9.6,0.4
28/09/2019,Perth,WA,94610,9.8,23.7,17.4,0
28/09/2019,Sydney,NSW,94767,15.1,19,15.6,0
29/09/2019,Adelaide,SA,94672,7,17.6,12.9,0
29/09/2019,Brisbane,QLD,94578,16.5,24.3,20.6,0
29/09/2019,Canberra,ACT,94926,2.2,20.2,11.7,0
29/09/2019,Darwin,NT,94120,23,33,27.8,0
29/09/2019,Hobart,TAS,94975,8.9,15,10,0.6
29/09/2019,Melbourne,VIC,94866,5,15.3,10.3,0
29/09/2019,Perth,WA,94610,10.6,30.8,20.3,0
29/09/2019,Sydney,NSW,94767,11.6,22.3,17.2,0
30/09/2019,Adelaide,SA,94672,9.2,19.8,15.6,0
30/09/2019,Brisbane,QLD,94578,17.5,25.1,21.1,35.3
30/09/2019,Canberra,ACT,94926,3.6,19.6,11.8,0
30/09/2019,Darwin,NT,94120,23.1,32.9,27.7,0
30/09/2019,Hobart,TAS,94975,6.7,14.8,8.6,0
30/09/2019,Melbourne,VIC,94866,5.5,14.7,8.1,0
30/09/2019,Perth,WA,94610,12.8,24,17.9,0
30/09/2019,Sydney,NSW,94767,13.4,18.1,15.4,1.8
1/10/2019,Adelaide,SA,94672,11.1,27.9,23.6,0
1/10/2019,Brisbane,QLD,94578,17,22.1,18.6,0.5
1/10/2019,Canberra,ACT,94926,6.1,21.1,11.8,0
1/10/2019,Darwin,NT,94120,23.4,33.8,28.5,0
1/10/2019,Hobart,TAS,94975,1.9,16.1,10.1,0.2
1/10/2019,Melbourne,VIC,94866,1,22.6,14.6,0
1/10/2019,Perth,WA,94610,9.7,23,15.6,0.6
1/10/2019,Sydney,NSW,94767,12.8,21.3,17,1
2/10/2019,Adelaide,SA,94672,13.7,26.6,17.1,0
2/10/2019,Brisbane,QLD,94578,16,23.1,18.6,0
2/10/2019,Canberra,ACT,94926,1.8,24.7,15.1,0
2/10/2019,Darwin,NT,94120,23.1,34.1,28.3,0
2/10/2019,Hobart,TAS,94975,3.9,19.1,13.8,0
2/10/2019,Melbourne,VIC,94866,6.6,26.4,20.8,0
2/10/2019,Perth,WA,94610,6.3,24.3,16.4,0
2/10/2019,Sydney,NSW,94767,12.3,25.6,19.9,0
3/10/2019,Adelaide,SA,94672,12.3,17,15.1,0
3/10/2019,Brisbane,QLD,94578,11.6,23.5,18.4,0
3/10/2019,Canberra,ACT,94926,4.2,28,16.8,0
3/10/2019,Darwin,NT,94120,24,34.2,28.6,0
3/10/2019,Hobart,TAS,94975,8.2,28.9,18.2,0
3/10/2019,Melbourne,VIC,94866,15.3,28.9,16.9,0
3/10/2019,Perth,WA,94610,7.9,26.7,20.6,0
3/10/2019,Sydney,NSW,94767,13.5,31.1,23.6,0
4/10/2019,Adelaide,SA,94672,12.2,31.9,23.2,0
4/10/2019,Brisbane,QLD,94578,12.5,24.4,19.3,0
4/10/2019,Canberra,ACT,94926,5.7,28.1,18.4,4.1
4/10/2019,Darwin,NT,94120,23.6,34.4,28.6,0
4/10/2019,Hobart,TAS,94975,10.7,15.2,8.4,0
4/10/2019,Melbourne,VIC,94866,10.2,15.7,10.7,0
4/10/2019,Perth,WA,94610,15.2,22.1,16.6,0.8
4/10/2019,Sydney,NSW,94767,16.8,34.7,19.8,0
5/10/2019,Adelaide,SA,94672,14.8,34.2,23.6,0
5/10/2019,Brisbane,QLD,94578,13.5,26,20.6,0
5/10/2019,Canberra,ACT,94926,12.3,19.2,14.2,0
5/10/2019,Darwin,NT,94120,24,34.2,28.4,0
5/10/2019,Hobart,TAS,94975,2.8,16.2,12.5,0
5/10/2019,Melbourne,VIC,94866,7.2,23.3,19.3,2.6
5/10/2019,Perth,WA,94610,13.2,20.9,15.4,7.4
5/10/2019,Sydney,NSW,94767,14.8,18.9,17.3,13.2
6/10/2019,Adelaide,SA,94672,13.8,21.3,14.7,0
6/10/2019,Brisbane,QLD,94578,17,25.1,20.6,0
6/10/2019,Canberra,ACT,94926,11.5,30.4,20.9,0
6/10/2019,Darwin,NT,94120,23.1,33.9,28,0
6/10/2019,Hobart,TAS,94975,9.4,19.8,12.4,0
6/10/2019,Melbourne,VIC,94866,11.8,24.4,15.9,0
6/10/2019,Perth,WA,94610,10.3,22.2,15.4,0
6/10/2019,Sydney,NSW,94767,14.8,23.6,19.9,0.6
7/10/2019,Adelaide,SA,94672,12.5,16.1,13.2,1
7/10/2019,Brisbane,QLD,94578,15.5,26.6,22.5,0
7/10/2019,Canberra,ACT,94926,8.6,23.7,15.8,0
7/10/2019,Darwin,NT,94120,24.3,33.3,28.6,0
7/10/2019,Hobart,TAS,94975,7.8,16.2,12.1,10.2
7/10/2019,Melbourne,VIC,94866,10.2,16.8,12.5,0
7/10/2019,Perth,WA,94610,11.1,25.4,18.6,0
7/10/2019,Sydney,NSW,94767,17.1,22.6,19.1,0
8/10/2019,Adelaide,SA,94672,9.3,16.9,12.6,0
8/10/2019,Brisbane,QLD,94578,19.7,27.7,22.5,0
8/10/2019,Canberra,ACT,94926,5.3,18.7,8.2,11.2
8/10/2019,Darwin,NT,94120,23.6,33.1,28.3,0
8/10/2019,Hobart,TAS,94975,8.5,13.1,9.7,0.2
8/10/2019,Melbourne,VIC,94866,7.8,13.3,8.9,1.4
8/10/2019,Perth,WA,94610,13.1,31,21.3,0
8/10/2019,Sydney,NSW,94767,16.2,23.3,14.7,0
9/10/2019,Adelaide,SA,94672,9.9,17.3,11.8,0
9/10/2019,Brisbane,QLD,94578,17,26.1,18.9,0
9/10/2019,Canberra,ACT,94926,1.7,16.3,8.9,0
9/10/2019,Darwin,NT,94120,24.1,33.5,28.6,0
9/10/2019,Hobart,TAS,94975,6.2,14.3,10.7,0
9/10/2019,Melbourne,VIC,94866,5.9,15.1,10.3,4.4
9/10/2019,Perth,WA,94610,10,29.9,19.7,0
9/10/2019,Sydney,NSW,94767,10.2,17.6,15.5,0.8
10/10/2019,Adelaide,SA,94672,5.9,19.2,14.1,0
10/10/2019,Brisbane,QLD,94578,16,22.6,18.1,0
10/10/2019,Canberra,ACT,94926,1,19.2,12.7,0
10/10/2019,Darwin,NT,94120,25.3,34,29,0
10/10/2019,Hobart,TAS,94975,6.9,14.3,10.4,0
10/10/2019,Melbourne,VIC,94866,7.9,14.6,10.8,1.8
10/10/2019,Perth,WA,94610,11.6,24.1,17.4,0
10/10/2019,Sydney,NSW,94767,12.4,18.9,15.9,0.6
11/10/2019,Adelaide,SA,94672,7.7,21.5,15.4,0
11/10/2019,Brisbane,QLD,94578,13,22.2,17.1,30.5
11/10/2019,Canberra,ACT,94926,7.5,17.1,10.7,0
11/10/2019,Darwin,NT,94120,23.6,34.5,28.8,0
11/10/2019,Hobart,TAS,94975,8.3,14,8.6,0
11/10/2019,Melbourne,VIC,94866,7.6,19.3,11.9,0.4
11/10/2019,Perth,WA,94610,11.1,21.2,16.7,0
11/10/2019,Sydney,NSW,94767,12.4,19,15.4,0
12/10/2019,Adelaide,SA,94672,8.2,25.1,20.9,0
12/10/2019,Brisbane,QLD,94578,12.3,19,15.1,5.8
12/10/2019,Canberra,ACT,94926,7.3,15.9,9.8,0
12/10/2019,Darwin,NT,94120,24.5,34.8,29.4,0
12/10/2019,Hobart,TAS,94975,4.4,14.3,8.1,0
12/10/2019,Melbourne,VIC,94866,6.3,19.6,13.4,9.4
12/10/2019,Perth,WA,94610,13.6,22.3,14.6,2.8
12/10/2019,Sydney,NSW,94767,12,19.2,14.6,10.8
13/10/2019,Adelaide,SA,94672,15.2,23.6,16.9,2
13/10/2019,Brisbane,QLD,94578,11.2,23,18.5,0.3
13/10/2019,Canberra,ACT,94926,1.8,19.8,12.4,0
13/10/2019,Darwin,NT,94120,24.3,33.8,29,0
13/10/2019,Hobart,TAS,94975,2.3,16.6,11.9,0.2
13/10/2019,Melbourne,VIC,94866,6.2,22.3,17.1,0
13/10/2019,Perth,WA,94610,6.9,21.3,16.9,0
13/10/2019,Sydney,NSW,94767,11,19.9,15.8,3
